Country,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper
Afghanistan,1 ,<1 , 2,3 ,2 , 4,3 ,2 , 5,4 ,2 , 6,5 ,3 , 7,6 ,4 , 9,9 ,5 , 13,12 ,7 , 19,13 ,7 , 20
Albania,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Algeria,31 ,29 , 34,34 ,31 , 36,38 ,35 , 40,46 ,43 , 49,54 ,50 , 57,62 ,58 , 66,70 ,66 , 75,75 ,70 , 80,81 ,75 , 86
Angola,10 ,9 , 12,11 ,10 , 13,13 ,11 , 15,18 ,16 , 21,23 ,20 , 26,24 ,21 , 28,23 ,20 , 27,24 ,21 , 29,27 ,23 , 31
Antigua and Barbuda,11 ,10 , 12,29 ,26 , 32,28 ,26 , 31,29 ,26 , 31,33 ,31 , 36,34 ,31 , 37,42 ,39 , 46,43 ,40 , 47,43 ,40 , 47
Argentina,46 ,41 , 51,48 ,43 , 53,50 ,45 , 56,52 ,47 , 58,54 ,49 , 60,56 ,51 , 62,58 ,52 , 64,60 ,54 , 65,61 ,55 , 67
Armenia,7 ,6 , 9,10 ,8 , 12,13 ,11 , 16,17 ,15 , 21,22 ,19 , 26,28 ,24 , 33,35 ,30 , 42,44 ,37 , 53,53 ,44 , 65
Australia,62 ,52 , 71,61 ,51 , 69,67 ,56 , 76,72 ,61 , 81,75 ,63 , 84,77 ,65 , 86,79 ,67 , 89,80 ,68 , 90,83 ,70 , 93
Austria,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Azerbaijan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bahamas,23 ,21 , 27,23 ,20 , 26,28 ,25 , 31,33 ,29 , 37,39 ,35 , 44,38 ,34 , 43,38 ,33 , 42,49 ,43 , 55,52 ,45 , 58
Bahrain,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bangladesh,6 ,5 , 7,8 ,7 , 9,9 ,8 , 11,11 ,10 , 13,12 ,11 , 14,13 ,12 , 15,15 ,13 , 17,19 ,17 , 22,22 ,19 , 25
Barbados,38 ,34 , 42,38 ,34 , 42,40 ,35 , 44,41 ,36 , 45,40 ,36 , 45,40 ,36 , 45,41 ,36 , 46,45 ,40 , 51,50 ,44 , 57
Belarus,21 ,17 , 26,23 ,19 , 28,27 ,22 , 33,29 ,24 , 36,30 ,25 , 37,34 ,28 , 42,36 ,30 , 45,45 ,37 , 57,59 ,48 , 75
Belgium,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Belize,21 ,19 , 23,22 ,20 , 24,21 ,19 , 23,23 ,21 , 26,24 ,22 , 27,25 ,23 , 28,27 ,25 , 30,27 ,25 , 30,28 ,26 , 31
Benin,33 ,22 , 52,40 ,27 , 65,43 ,28 , 68,37 ,25 , 59,42 ,28 , 67,48 ,32 , 77,54 ,36 , 86,53 ,36 , 86,61 ,40 , >95
Bhutan,5 ,2 , 10,7 ,3 , 13,9 ,4 , 18,12 ,6 , 25,15 ,7 , 31,20 ,10 , 42,24 ,13 , 48,31 ,17 , 64,37 ,20 , 78
