,2015,2015_lower, 2015_upper, 2015,2015_lower, 2015_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2016,2016_lower, 2016_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2017,2017_lower, 2017_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2018,2018_lower, 2018_upper, 2018,2018_lower, 2018_upper
Country,Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper
Afghanistan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,37 ,21 , 58,33 ,19 , 52,... ,... , ...,38 ,21 , 60,34 ,19 , 54,... ,... , ...
Albania,... ,... , ...,59 ,57 , 62,... ,... , ...,... ,... , ...,64 ,61 , 67,... ,... , ...,... ,... , ...,65 ,62 , 68,... ,... , ...,... ,... , ...,62 ,59 , 65,... ,... , ...
Algeria,86 ,80 , 92,72 ,67 , 77,68 ,63 , 73,86 ,80 , 91,82 ,76 , 87,68 ,64 , 72,86 ,81 , 92,87 ,82 , 93,68 ,64 , 73,86 ,81 , 92,93 ,87 , >95,68 ,64 , 72
Angola,36 ,31 , 42,68 ,58 , 78,... ,... , ...,36 ,32 , 42,63 ,54 , 73,... ,... , ...,39 ,34 , 46,63 ,55 , 75,... ,... , ...,42 ,36 , 50,63 ,54 , 75,... ,... , ...
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,... ,... , ...,... ,... , ...,44 ,41 , 48
Argentina,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Armenia,52 ,44 , 62,54 ,45 , 65,71 ,60 , 85,57 ,49 , 69,60 ,52 , 73,86 ,73 , >95,65 ,54 , 78,68 ,57 , 82,85 ,72 , >95,73 ,61 , 90,72 ,60 , 90,83 ,69 , >95
Australia,90 ,77 , >95,85 ,72 , >95,91 ,77 , >95,91 ,77 , >95,87 ,73 , >95,93 ,78 , >95,92 ,78 , >95,87 ,74 , >95,>95 ,80 , >95,... ,... , ...,... ,... , ...,>95 ,81 , >95
Austria,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,93 ,82 , >95,86 ,76 , >95,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Azerbaijan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,71 ,50 , >95,75 ,53 , >95
