,2015,2015_lower, 2015_upper, 2015,2015_lower, 2015_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2016,2016_lower, 2016_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2017,2017_lower, 2017_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2018,2018_lower, 2018_upper, 2018,2018_lower, 2018_upper
Country,Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper
Afghanistan,... ,... , ...,,,,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,32 ,18 , 48,40 ,22 , 60,... ,... , ...,32 ,18 , 49,38 ,22 , 60,... ,... , ...
Albania,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Algeria,90 ,84 , >95,73 ,68 , 77,69 ,65 , 74,90 ,84 , >95,82 ,76 , 86,69 ,65 , 74,90 ,84 , >95,86 ,80 , 91,69 ,65 , 74,91 ,85 , >95,91 ,85 , >95,69 ,65 , 74
Angola,40 ,34 , 46,67 ,57 , 77,... ,... , ...,41 ,35 , 47,59 ,51 , 68,... ,... , ...,43 ,37 , 51,58 ,50 , 68,... ,... , ...,47 ,40 , 55,59 ,50 , 69,... ,... , ...
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,... ,... , ...,... ,... , ...,47 ,43 , 51
Argentina,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Armenia,52 ,44 , 62,56 ,48 , 67,74 ,63 , 89,58 ,49 , 69,65 ,55 , 78,92 ,78 , >95,64 ,54 , 77,74 ,62 , 89,90 ,76 , >95,72 ,61 , 88,78 ,65 , 95,87 ,73 , >95
Australia,91 ,79 , >95,85 ,74 , 93,90 ,78 , >95,91 ,79 , >95,88 ,76 , >95,93 ,81 , >95,91 ,79 , >95,88 ,76 , >95,>95 ,85 , >95,... ,... , ...,... ,... , ...,>95 ,85 , >95
Austria,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Azerbaijan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bahamas,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bahrain,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bangladesh,29 ,25 , 33,49 ,43 , 56,... ,... , ...,30 ,27 , 35,53 ,46 , 60,... ,... , ...,33 ,29 , 37,55 ,48 , 63,... ,... , ...,35 ,30 , 39,60 ,52 , 68,... ,... , ...
Barbados,>95 ,86 , >95,55 ,50 , 61,... ,... , ...,94 ,84 , >95,55 ,50 , 61,... ,... , ...,91 ,82 , >95,63 ,56 , 69,83 ,74 , 92,... ,... , ...,... ,... , ...,88 ,79 , >95
Belarus,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,77 ,63 , >95,78 ,64 , >95,71 ,57 , 90
Belgium,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Belize,56 ,50 , 62,46 ,41 , 51,... ,... , ...,57 ,51 , 63,49 ,44 , 54,59 ,53 , 65,58 ,51 , 64,49 ,44 , 54,... ,... , ...,51 ,45 , 56,58 ,52 , 64,65 ,58 , 72
Benin,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,79 ,53 , >95
Bhutan,58 ,31 , >95,61 ,33 , >95,... ,... , ...,63 ,35 , >95,64 ,36 , >95,... ,... , ...,69 ,39 , >95,73 ,41 , >95,... ,... , ...,73 ,41 , >95,78 ,44 , >95,... ,... , ...
Bolivia (Plurinational State of),... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,70 ,64 , 77,... ,... , ...,... ,... , ...,71 ,66 , 78,... ,... , ...,... ,... , ...,68 ,63 , 74
Bosnia and Herzegovina,... ,... , ...,... ,... , ...,80 ,70 , 92,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Botswana,90 ,81 , >95,89 ,80 , >95,... ,... , ...,91 ,81 , >95,94 ,84 , >95,... ,... , ...,92 ,83 , >95,>95 ,86 , >95,... ,... , ...,>95 ,86 , >95,>95 ,90 , >95,>95 ,88 , >95
Brazil,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Brunei Darussalam,... ,... , ...,... ,... , ...,,,,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,>95 ,84 , >95,57 ,41 , 64
Bulgaria,95 ,86 , >95,41 ,37 , 45,78 ,71 , 87,95 ,85 , >95,39 ,35 , 44,83 ,75 , 93,94 ,82 , >95,36 ,32 , 41,>95 ,87 , >95,>95 ,82 , >95,36 ,31 , 41,>95 ,82 , >95
Burkina Faso,67 ,55 , 79,91 ,75 , >95,... ,... , ...,71 ,58 , 84,95 ,78 , >95,... ,... , ...,77 ,63 , 92,>95 ,81 , >95,... ,... , ...,82 ,67 , >95,>95 ,80 , >95,... ,... , ...
Burundi,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Cabo Verde,82 ,70 , 95,74 ,63 , 86,... ,... , ...,87 ,74 , >95,83 ,70 , >95,... ,... , ...,... ,... , ...,... ,... , ...,38 ,32 , 44,... ,... , ...,... ,... , ...,58 ,49 , 68
