,2015,2015_lower, 2015_upper, 2015,2015_lower, 2015_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2016,2016_lower, 2016_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2017,2017_lower, 2017_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2018,2018_lower, 2018_upper, 2018,2018_lower, 2018_upper
Region,Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper
Asia and the Pacific,58 ,45 , 76,63 ,50 , 72,89 ,69 , >95,62 ,49 , 80,68 ,55 , 76,90 ,70 , >95,67 ,56 , 84,72 ,61 , 77,90 ,70 , >95,69 ,59 , 85,78 ,68 , 83,91 ,72 , >95
Caribbean,64 ,52 , 77,68 ,57 , 73,71 ,47 , 86,67 ,55 , 80,73 ,63 , 79,72 ,50 , 86,69 ,58 , 82,79 ,68 , 83,73 ,51 , 85,72 ,60 , 86,77 ,66 , 81,74 ,53 , 85
East and Southern Africa,77 ,68 , 87,68 ,60 , 71,82 ,70 , 88,80 ,71 , 90,72 ,63 , 74,85 ,72 , 90,83 ,73 , 93,76 ,67 , 79,86 ,73 , 91,85 ,75 , >95,79 ,69 , 82,87 ,74 , 92
Eastern Europe and Central Asia,65 ,51 , 79,36 ,27 , 41,74 ,53 , 86,67 ,54 , 81,43 ,33 , 49,75 ,56 , 86,70 ,56 , 84,47 ,36 , 53,77 ,58 , 88,72 ,64 , 81,53 ,45 , 56,77 ,67 , 81
Latin America,70 ,53 , 89,74 ,62 , 82,84 ,68 , 92,73 ,56 , 93,75 ,63 , 82,86 ,70 , 93,75 ,58 , >95,76 ,64 , 83,87 ,72 , 94,80 ,62 , >95,78 ,67 , 84,89 ,74 , >95
Middle East and North Africa,40 ,21 , 69,56 ,43 , 67,79 ,62 , 88,42 ,23 , 73,61 ,48 , 72,80 ,63 , 88,45 ,25 , 77,65 ,52 , 75,80 ,63 , 88,47 ,26 , 80,69 ,55 , 79,82 ,65 , 90
West and Central Africa,51 ,41 , 64,72 ,64 , 75,75 ,52 , 89,55 ,44 , 69,76 ,67 , 80,76 ,54 , 88,59 ,47 , 74,80 ,70 , 83,76 ,54 , 88,64 ,51 , 80,79 ,70 , 83,76 ,56 , 87
Western & Central Europe and North America,86 ,73 , >95,88 ,76 , 93,77 ,66 , 82,87 ,75 , >95,89 ,78 , 93,79 ,68 , 82,87 ,75 , >95,90 ,78 , 94,81 ,69 , 86,88 ,75 , >95,90 ,78 , >95,81 ,69 , 87
Global,70 ,59,82,68 ,59,72,82 ,68,88,73 ,62,86,72 ,62,76,84 ,70,89,76 ,65,89,75 ,66,79,85 ,71,91,79 ,67,92,78 ,69,82,86 ,72,92
