,2015,2015_lower, 2015_upper, 2015,2015_lower, 2015_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2016,2016_lower, 2016_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2017,2017_lower, 2017_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2018,2018_lower, 2018_upper, 2018,2018_lower, 2018_upper
Region,Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper
Asia and the Pacific,64 ,50 , 87,66 ,52 , 76,91 ,69 , >95,68 ,54 , 91,71 ,57 , 80,91 ,70 , >95,73 ,62 , 94,73 ,62 , 79,91 ,70 , >95,74 ,64 , 94,81 ,70 , 85,92 ,71 , >95
Caribbean,73 ,60 , 88,68 ,57 , 73,73 ,46 , 90,76 ,63 , 91,74 ,63 , 79,74 ,49 , 89,77 ,66 , 91,80 ,70 , 85,76 ,51 , 90,80 ,68 , 94,77 ,67 , 81,75 ,51 , 88
East and Southern Africa,82 ,73 , 91,70 ,61 , 73,84 ,71 , 90,84 ,75 , 94,74 ,65 , 77,86 ,73 , 92,87 ,77 , >95,78 ,69 , 82,87 ,74 , 93,88 ,78 , >95,82 ,72 , 85,89 ,75 , 94
Eastern Europe and Central Asia,79 ,66 , 90,35 ,28 , 38,76 ,55 , 89,81 ,68 , 92,44 ,36 , 48,77 ,56 , 89,83 ,70 , 94,48 ,39 , 51,79 ,58 , 91,85 ,76 , >95,54 ,46 , 57,78 ,68 , 82
Latin America,78 ,61 , >95,72 ,61 , 78,83 ,68 , 91,80 ,62 , >95,72 ,61 , 78,86 ,70 , 92,82 ,64 , >95,73 ,61 , 78,87 ,72 , 93,83 ,65 , >95,75 ,64 , 80,89 ,74 , >95
Middle East and North Africa,40 ,20 , 72,61 ,46 , 76,80 ,63 , 88,43 ,23 , 76,67 ,51 , 81,81 ,64 , 89,46 ,25 , 80,70 ,54 , 82,81 ,65 , 89,49 ,27 , 84,73 ,58 , 85,82 ,66 , 90
West and Central Africa,58 ,46 , 72,78 ,69 , 81,76 ,53 , 90,62 ,50 , 77,83 ,73 , 86,77 ,55 , 90,67 ,53 , 83,87 ,76 , 90,77 ,55 , 90,71 ,57 , 89,86 ,76 , 89,78 ,58 , 88
Western & Central Europe and North America,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Global,76 ,65,88,70 ,61,74,83 ,69,90,79 ,68,92,74 ,65,78,85 ,71,91,82 ,71,95,78 ,68,82,86 ,72,92,84 ,73,>95,81 ,71,85,87 ,73,93
