,2015,2015_lower, 2015_upper, 2015,2015_lower, 2015_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2016,2016_lower, 2016_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2017,2017_lower, 2017_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2018,2018_lower, 2018_upper, 2018,2018_lower, 2018_upper
Region,Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper
Asia and the Pacific,55 ,40 , 73,60 ,46 , 71,89 ,67 , >95,58 ,44 , 76,65 ,51 , 76,90 ,68 , >95,63 ,52 , 79,70 ,59 , 76,90 ,69 , >95,66 ,55 , 81,76 ,66 , 81,91 ,71 , >95
Caribbean,57 ,45 , 72,66 ,54 , 72,70 ,46 , 84,60 ,48 , 75,71 ,60 , 78,71 ,48 , 85,63 ,52 , 76,76 ,66 , 80,70 ,49 , 81,67 ,53 , 82,75 ,63 , 81,73 ,53 , 83
East and Southern Africa,74 ,64 , 84,62 ,55 , 64,81 ,68 , 88,77 ,67 , 88,65 ,57 , 67,84 ,71 , 89,80 ,69 , 91,69 ,60 , 71,84 ,71 , 90,82 ,71 , 93,72 ,63 , 75,86 ,73 , 91
Eastern Europe and Central Asia,57 ,39 , 74,34 ,23 , 42,71 ,48 , 86,60 ,43 , 76,41 ,28 , 49,73 ,50 , 87,63 ,45 , 79,45 ,32 , 54,75 ,52 , 89,65 ,56 , 74,51 ,44 , 55,77 ,66 , 80
Latin America,67 ,50 , 86,75 ,61 , 84,85 ,68 , 93,71 ,53 , 91,76 ,63 , 85,86 ,69 , 94,73 ,55 , 93,78 ,65 , 86,87 ,71 , 94,79 ,60 , >95,80 ,67 , 86,89 ,73 , >95
Middle East and North Africa,40 ,21 , 70,51 ,39 , 62,79 ,62 , 89,42 ,22 , 74,57 ,44 , 67,80 ,62 , 89,45 ,25 , 78,61 ,48 , 71,80 ,62 , 88,47 ,26 , 81,65 ,51 , 75,83 ,65 , 91
West and Central Africa,49 ,39 , 63,59 ,52 , 62,75 ,50 , 90,53 ,42 , 68,62 ,55 , 65,75 ,51 , 89,57 ,44 , 72,65 ,57 , 68,75 ,53 , 89,61 ,48 , 78,66 ,58 , 68,75 ,54 , 87
Western & Central Europe and North America,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Global,66 ,55,80,64 ,55,69,81 ,67,88,69 ,57,83,67 ,58,72,83 ,69,89,73 ,60,86,71 ,61,75,84 ,69,90,75 ,63,89,74 ,64,77,85 ,71,92
