,2015,2015_lower, 2015_upper, 2015,2015_lower, 2015_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2016,2016_lower, 2016_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2017,2017_lower, 2017_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2018,2018_lower, 2018_upper, 2018,2018_lower, 2018_upper
Country,Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper
Afghanistan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,39 ,22 , 62,31 ,17 , 49,... ,... , ...,40 ,22 , 65,32 ,18 , 52,... ,... , ...
Albania,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Algeria,82 ,74 , 90,65 ,59 , 72,68 ,60 , 74,82 ,74 , 90,76 ,68 , 84,68 ,61 , 74,82 ,74 , 90,83 ,75 , 92,68 ,61 , 74,81 ,73 , 89,91 ,81 , >95,68 ,60 , 74
Angola,38 ,32 , 45,65 ,55 , 78,... ,... , ...,38 ,32 , 46,67 ,57 , 81,... ,... , ...,41 ,35 , 49,71 ,60 , 85,... ,... , ...,44 ,37 , 52,69 ,58 , 82,... ,... , ...
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,... ,... , ...,... ,... , ...,42 ,38 , 46
Argentina,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Armenia,51 ,43 , 62,52 ,44 , 62,68 ,58 , 82,57 ,48 , 68,57 ,49 , 69,82 ,70 , >95,64 ,54 , 79,64 ,53 , 78,82 ,69 , >95,73 ,60 , 89,69 ,57 , 85,80 ,66 , >95
Australia,90 ,75 , >95,85 ,71 , >95,91 ,76 , >95,91 ,76 , >95,86 ,71 , >95,93 ,77 , >95,92 ,76 , >95,87 ,72 , >95,95 ,78 , >95,... ,... , ...,... ,... , ...,95 ,79 , >95
Austria,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Azerbaijan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bahamas,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bahrain,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bangladesh,31 ,27 , 35,39 ,34 , 45,... ,... , ...,32 ,28 , 37,42 ,37 , 49,... ,... , ...,36 ,32 , 42,53 ,46 , 60,... ,... , ...,37 ,32 , 42,61 ,54 , 70,... ,... , ...
Barbados,59 ,50 , 67,58 ,50 , 67,... ,... , ...,60 ,51 , 68,61 ,51 , 70,... ,... , ...,59 ,50 , 67,68 ,57 , 78,79 ,67 , 91,... ,... , ...,... ,... , ...,88 ,74 , >95
