Country,2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper
Afghanistan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Albania,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Algeria,42 ,39 , 45,48 ,45 , 51,51 ,48 , 54,55 ,51 , 58
Angola,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Antigua and Barbuda,,,,,,,,,,19 ,18 , 21
Argentina,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Armenia,20 ,17 , 24,30 ,25 , 36,37 ,31 , 45,44 ,36 , 54
Australia,70 ,59 , 79,73 ,62 , 82,77 ,65 , 86,79 ,67 , 88
Austria,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Azerbaijan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bahamas,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bahrain,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bangladesh,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Barbados,... ,... , ...,... ,... , ...,37 ,32 , 41,44 ,39 , 50
Belarus,... ,... , ...,... ,... , ...,... ,... , ...,40 ,33 , 52
Belgium,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Belize,... ,... , ...,16 ,15 , 18,... ,... , ...,18 ,17 , 20
Benin,... ,... , ...,... ,... , ...,... ,... , ...,48 ,32 , 77
Bhutan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bolivia (Plurinational State of),... ,... , ...,21 ,19 , 23,24 ,21 , 26,33 ,30 , 36
Bosnia and Herzegovina,37 ,32 , 43,... ,... , ...,... ,... , ...,... ,... , ...
Botswana,... ,... , ...,... ,... , ...,... ,... , ...,81 ,73 , 88
Brazil,51 ,39 , 63,54 ,42 , 67,58 ,45 , 72,62 ,47 , 77
Brunei Darussalam,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bulgaria,26 ,23 , 29,27 ,24 , 30,29 ,25 , 33,39 ,33 , 45
Burkina Faso,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Burundi,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Cabo Verde,... ,... , ...,... ,... , ...,26 ,22 , 31,42 ,35 , 50
Cambodia,... ,... , ...,... ,... , ...,74 ,64 , 84,78 ,67 , 89
Cameroon,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Canada,... ,... , ...,63 ,55 , 72,... ,... , ...,... ,... , ...
Central African Republic,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Chad,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Chile,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
China,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Colombia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Comoros,... ,... , ...,... ,... , ...,... ,... , ...,68 ,34 , >95
Congo,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Costa Rica,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Croatia,60 ,54 , 67,64 ,57 , 71,67 ,60 , 74,68 ,61 , 75
Cuba,... ,... , ...,... ,... , ...,43 ,33 , 52,48 ,37 , 57
Cyprus,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Czechia,... ,... , ...,47 ,41 , 54,... ,... , ...,51 ,43 , 58
Côte d'Ivoire,... ,... , ...,... ,... , ...,... ,... , ...,41 ,33 , 52
Democratic People's Republic of Korea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Democratic Republic of the Congo,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Denmark,... ,... , ...,85 ,76 , 95,... ,... , ...,... ,... , ...
Djibouti,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Dominica,,,,,,,12 ,10 , 14,18 ,15 , 20
Dominican Republic,... ,... , ...,... ,... , ...,32 ,25 , 40,37 ,29 , 49
Ecuador,... ,... , ...,... ,... , ...,... ,... , ...,51 ,34 , 83
Egypt,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
El Salvador,38 ,31 , 45,36 ,29 , 42,38 ,31 , 45,40 ,33 , 46
Equatorial Guinea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Eritrea,... ,... , ...,... ,... , ...,... ,... , ...,39 ,29 , 53
Estonia,... ,... , ...,... ,... , ...,... ,... , ...,53 ,48 , 59
Eswatini,... ,... , ...,71 ,66 , 77,78 ,73 , 85,81 ,76 , 89
Ethiopia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Fiji,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Finland,... ,... , ...,... ,... , ...,... ,... , ...,67 ,53 , 83
France,... ,... , ...,75 ,63 , 89,... ,... , ...,... ,... , ...
Gabon,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Gambia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Georgia,... ,... , ...,... ,... , ...,... ,... , ...,42 ,36 , 49
Germany,71 ,58 , 82,74 ,61 , 86,77 ,62 , 89,... ,... , ...
Ghana,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Greece,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Grenada,,,,,,,,,,8 ,7 , 10
Guatemala,... ,... , ...,31 ,29 , 34,31 ,29 , 34,34 ,32 , 37
Guinea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Guinea-Bissau,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Guyana,... ,... , ...,51 ,45 , 57,53 ,47 , 61,55 ,48 , 63
Haiti,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Honduras,... ,... , ...,39 ,32 , 48,41 ,32 , 49,42 ,33 , 51
Hungary,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Iceland,... ,... , ...,... ,... , ...,72 ,64 , 79,76 ,67 , 83
India,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Indonesia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Iran (Islamic Republic of),... ,... , ...,... ,... , ...,13 ,8 , 25,17 ,9 , 32
Ireland,... ,... , ...,... ,... , ...,73 ,63 , 81,76 ,66 , 84
Israel,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Italy,... ,... , ...,70 ,60 , 78,... ,... , ...,... ,... , ...
Jamaica,... ,... , ...,... ,... , ...,... ,... , ...,25 ,22 , 29
Japan,71 ,59 , 81,... ,... , ...,... ,... , ...,... ,... , ...
Jordan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Kazakhstan,20 ,19 , 22,22 ,20 , 23,35 ,32 , 38,38 ,35 , 40
Kenya,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Kuwait,46 ,42 , 50,53 ,48 , 57,55 ,49 , 59,60 ,54 , 65
Kyrgyzstan,17 ,13 , 22,21 ,16 , 28,26 ,20 , 35,30 ,22 , 40
Lao People's Democratic Republic,... ,... , ...,... ,... , ...,45 ,40 , 52,47 ,41 , 54
Latvia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Lebanon,... ,... , ...,... ,... , ...,48 ,43 , 54,56 ,49 , 62
Lesotho,... ,... , ...,... ,... , ...,52 ,49 , 56,57 ,53 , 60
Liberia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Libya,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Lithuania,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Luxembourg,... ,... , ...,... ,... , ...,68 ,59 , 75,68 ,60 , 76
Madagascar,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Malawi,53 ,47 , 57,60 ,53 , 65,63 ,56 , 69,69 ,62 , 75
Malaysia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Maldives,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Mali,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Malta,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Mauritania,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Mauritius,... ,... , ...,... ,... , ...,... ,... , ...,16 ,13 , 19
Mexico,45 ,39 , 52,50 ,43 , 58,51 ,44 , 58,63 ,53 , 71
Mongolia,23 ,20 , 26,21 ,18 , 23,27 ,24 , 30,26 ,23 , 29
Montenegro,... ,... , ...,33 ,28 , 38,36 ,30 , 41,38 ,31 , 43
Morocco,40 ,31 , 53,47 ,37 , 62,50 ,40 , 67,59 ,47 , 78
Mozambique,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Myanmar,... ,... , ...,... ,... , ...,... ,... , ...,65 ,58 , 73
Namibia,71 ,66 , 76,69 ,64 , 75,79 ,73 , 85,87 ,80 , 94
Nepal,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Netherlands,76 ,70 , 82,78 ,71 , 84,78 ,71 , 84,... ,... , ...
New Zealand,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Nicaragua,... ,... , ...,... ,... , ...,... ,... , ...,40 ,32 , 51
Niger,... ,... , ...,... ,... , ...,43 ,36 , 51,45 ,38 , 54
Nigeria,... ,... , ...,... ,... , ...,... ,... , ...,42 ,32 , 57
North Macedonia,... ,... , ...,... ,... , ...,46 ,40 , 53,46 ,40 , 54
Norway,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Oman,24 ,22 , 26,30 ,27 , 32,32 ,29 , 35,35 ,32 , 39
Pakistan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Panama,... ,... , ...,... ,... , ...,... ,... , ...,41 ,37 , 45
Papua New Guinea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Paraguay,... ,... , ...,... ,... , ...,28 ,22 , 41,32 ,25 , 46
Peru,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Philippines,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Poland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Portugal,... ,... , ...,68 ,60 , 77,... ,... , ...,... ,... , ...
Qatar,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Republic of Korea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Republic of Moldova,... ,... , ...,... ,... , ...,21 ,17 , 27,26 ,21 , 34
Romania,... ,... , ...,... ,... , ...,62 ,55 , 68,54 ,48 , 59
Russian Federation,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Rwanda,... ,... , ...,65 ,58 , 72,69 ,61 , 77,74 ,65 , 82
Saint Kitts and Nevis,16 ,14 , 18,24 ,21 , 27,22 ,20 , 26,25 ,22 , 29
Saint Lucia,,,,12 ,10 , 13,6 ,5 , 7,15 ,13 , 17
